(15000)
1 (6717)
3 (2723)
7 (2993)
8 (2819)
1 62 79 (2025)
1 3 79 (2091)
9 62 79 (2122)
3 9 79 (2198)
3 62 79 (2303)
1 9 82 (2999)
1 62 82 (3000)
1 3 82 (3007)
9 62 82 (3009)
3 9 82 (3006)
3 62 82 (3013)
62 92 131 (1522)
3 92 131 (1555)
1 9 131 (1588)
1 62 131 (1692)
1 3 131 (1969)
9 62 131 (1743)
3 9 131 (1811)
3 62 131 (2089)
1 62 92 (1724)
1 3 92 (1823)
9 62 92 (1564)
3 9 92 (1585)
3 62 92 (2151)
1 16 17 (1776)
1 3 16 (1832)
1 3 17 (1855)
1 3 14 (2251)
1 9 62 (3450)
1 3 9 (3867)
1 3 62 (4280)
14 16 17 (5382)
3 16 17 (3956)
3 14 16 (3279)
3 14 17 (3329)
3 14 62 (1962)
9 62 (3153)
3 9 (3197)
3 9 62 (3912)
3 62 (3760)
50 78 79 85 (1441)
50 62 78 85 (1441)
9 78 79 85 (1441)
62 78 79 85 (1442)
3 78 79 85 (1441)
9 62 78 85 (1441)
3 9 78 85 (1441)
3 62 78 85 (1441)
50 62 78 79 (1441)
9 62 78 79 (1441)
3 9 78 79 (1441)
3 62 78 79 (1441)
3 9 62 78 (1441)
8 10 80 81 (1441)
10 79 80 81 (1441)
9 10 80 81 (1441)
10 62 80 81 (1441)
3 10 80 81 (1441)
8 79 80 81 (1441)
8 9 80 81 (1441)
8 62 80 81 (1441)
3 8 80 81 (1441)
50 79 80 81 (1441)
50 80 81 82 (1441)
9 50 80 81 (1441)
50 62 80 81 (1441)
3 50 80 81 (1441)
79 80 81 82 (1441)
9 79 80 81 (1442)
62 79 80 81 (1442)
3 79 80 81 (1442)
9 80 81 82 (1441)
62 80 81 82 (1441)
3 80 81 82 (1441)
9 62 80 81 (1442)
3 9 80 81 (1442)
3 62 80 81 (1442)
8 10 79 81 (1441)
8 9 10 81 (1441)
8 10 62 81 (1441)
3 8 10 81 (1441)
9 10 79 81 (1441)
10 62 79 81 (1441)
3 10 79 81 (1441)
9 10 62 81 (1441)
3 9 10 81 (1441)
3 10 62 81 (1441)
8 9 79 81 (1441)
8 62 79 81 (1441)
3 8 79 81 (1441)
8 9 62 81 (1441)
3 8 9 81 (1441)
3 8 62 81 (1441)
50 79 81 82 (1441)
9 50 79 81 (1441)
50 62 79 81 (1441)
3 50 79 81 (1441)
9 50 81 82 (1441)
50 62 81 82 (1441)
3 50 81 82 (1441)
9 50 62 81 (1441)
3 9 50 81 (1441)
